E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0002;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Zahra                                             ;Abdulla                                           ;2;045;kätilö                                                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0013;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Husein                                            ;Muhammed                                          ;1;030;oikeustieteen maisteri, lakimies                                                                                                                                                                        ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0014;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mari                                              ;Puoskari                                          ;2;031;diplomi-insinööri, puolueen varapuheenjohtaja                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0015;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jukka                                             ;Relander                                          ;1;044;kolumnisti                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0016;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anni                                              ;Sinnemäki                                         ;2;037;puolueen puheenjohtaja, työministeri                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;  ; ;1; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0017;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Riitta                                            ;Skoglund                                          ;2;057;psykologi, filosofian maisteri                                                                                                                                                                          ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0018;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Osmo                                              ;Soininvaara                                       ;1;059;valtiotieteen lisensiaatti                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ;1; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0019;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Leo                                               ;Stranius                                          ;1;036;pääsihteeri, hallintotieteiden maisteri                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0020;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Johanna                                           ;Sumuvuori                                         ;2;034;kansanedustaja, valtiotieteiden maisteri                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;  ; ;1; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0021;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sanna                                             ;Vesikansa                                         ;2;038;kv-asiain koordinaattori, valtiotieteiden maisteri                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0022;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ville                                             ;Ylikahri                                          ;1;036;filosofian maisteri, opintojohtaja                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;14    ;11;02;02;KTP   ;KAP   ;CWP   ;0023;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Reija                                             ;Mauria-Haidara                                    ;2;050;siivooja                                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;14    ;11;02;02;KTP   ;KAP   ;CWP   ;0024;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Teuvo                                             ;Kauhanen                                          ;1;080;leipuri                                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;14    ;11;02;02;KTP   ;KAP   ;CWP   ;0025;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Reino                                             ;Niskanen                                          ;1;067;rakennusmies, merimies                                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;14    ;11;02;02;KTP   ;KAP   ;CWP   ;0026;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Lassi                                             ;Tiittanen                                         ;1;055;sekatyömies                                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;14    ;11;02;02;KTP   ;KAP   ;CWP   ;0027;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jukka                                             ;Vaahtera                                          ;1;072;maalari                                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;14    ;11;02;02;KTP   ;KAP   ;CWP   ;0028;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mikko                                             ;Vartiainen                                        ;1;055;sosiaalisihteeri, oikeustieteen lisensiaatti                                                                                                                                                            ;638;Porvoo                                  ;Borgå                                   ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0029;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Lauri                                             ;Alhojärvi                                         ;1;027;koulunkäyntiavustaja, muusikko                                                                                                                                                                          ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0030;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Irene                                             ;Auer                                              ;2;024;painotuotantoassistentti, luokanopettajaopiskelija                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0031;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Yrjö                                              ;Hakanen                                           ;1;058;puolueen puheenjohtaja                                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;  ; ; ;1; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0032;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kalle                                             ;Hernberg                                          ;1;036;opettaja, filosofian maisteri                                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0033;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Elina                                             ;Järvenpää                                         ;2;066;diplomi-insinööri                                                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0034;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kirsti                                            ;Kangas                                            ;2;056;siivooja                                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0035;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mikko                                             ;Korhonen                                          ;1;031;opiskelija, talonmies                                                                                                                                                                                   ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0036;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jussi-Petteri                                     ;Lappi                                             ;1;028;postinjakaja, talonmies                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0037;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Juhani                                            ;Lilja                                             ;1;066;teknikko                                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0038;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Arja                                              ;Putkonen                                          ;2;049;lähihoitajaopiskelija                                                                                                                                                                                   ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0039;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Hannele                                           ;Salava                                            ;2;060;erityislastentarhanopettaja                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0040;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anneli (Anneli Sauli                              ;Pakkasvirta                                       ;2;078;näyttelijä                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0041;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Erkki                                             ;Susi                                              ;1;064;päätoimittaja                                                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0042;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anna-Mili                                         ;Tölkkö                                            ;2;024;opiskelija                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0043;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Juha-Pekka                                        ;Väisänen                                          ;1;044;käsitetaiteilija, pääsihteeri                                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0044;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jarmo                                             ;Åsnabrygg                                         ;1;044;palveluvastaava                                                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0045;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Iida (Ibi Love)                                   ;Lukander                                          ;2;031;mediataiteilija, muusikko                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0046;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kari                                              ;Peitsamo                                          ;1;053;muusikko                                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0047;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Paula                                             ;Pere                                              ;2;053;työvoimaohjaaja                                                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0048;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Stacy                                             ;Siivonen                                          ;2;041;henkilökohtainen avustaja                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;8     ;09;03;03;SKP   ;FKP   ;CPF   ;0049;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anni                                              ;Wallenius                                         ;2;023;opiskelija                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0050;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Riku                                              ;Ahola                                             ;1;030;ylioppilasmerkonomi, valtiotieteiden kandidaatti                                                                                                                                                        ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0051;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Paavo                                             ;Arhinmäki                                         ;1;034;puolueen puheenjohtaja, kansanedustaja                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;  ; ;1; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0052;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Atte                                              ;Blom                                              ;1;067;tuottaja, producent                                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0053;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Johanna                                           ;Elonen                                            ;2;042;maalari                                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0054;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ilpo                                              ;Haaja                                             ;1;052;pääluottamusmies, levyseppä                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0055;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Aino                                              ;Halonen                                           ;2;037;tuottaja, yrittäjä                                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0056;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Katri                                             ;Immonen                                           ;2;025;valtiotieteiden kandidaatti, opiskelija                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0057;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Dan                                               ;Koivulaakso                                       ;1;030;YTM, Vasemmistonuorten pj, SVM, ordförande  för Vänsterunga                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0058;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Joonas                                            ;Leppänen                                          ;1;030;FM, apurahatutkija, filosofie magister, stipendieforskare                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0059;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Tiina                                             ;Lintunen                                          ;2;032;sosionomi (amk), sosiaaliohjaaja                                                                                                                                                                        ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0060;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Hanna                                             ;Mithiku                                           ;2;028;teologian kandidaatti, filosofian ylioppilas                                                                                                                                                            ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0061;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Silvia                                            ;Modig                                             ;2;034;toimittaja, journalist                                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0062;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Henrik                                            ;Nyholm                                            ;1;023;ylioppilas, student                                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0063;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Heikki                                            ;Patomäki                                          ;1;048;valtiotieteiden tohtori, professori                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0064;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kirsi                                             ;Pihlaja                                           ;2;030;sosionomi (amk), nuorisotyön suunnittelija                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0065;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sirpa                                             ;Puhakka                                           ;2;054;yhteiskuntatieteiden maisteri, puoluesihteeri                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0066;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Martina                                           ;Reuter                                            ;2;048;akademiforskare, akatemiatutkija                                                                                                                                                                        ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0067;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Markku                                            ;Saarinen                                          ;1;055;pääluottamusmies, kiinteistönhoitaja                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0068;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Pekka                                             ;Saarnio                                           ;1;065;toimittaja, eläkeläinen                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0069;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anna                                              ;Vuorjoki                                          ;2;034;psykologi                                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;04;04;04;VAS   ;VÄNST ;LEFT  ;0070;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Eeva                                              ;Wiik                                              ;2;045;myyjä                                                                                                                                                                                                   ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;02;05;05;KOK   ;SAML  ;NCP   ;0071;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sirpa                                             ;Asko-Seljavaara                                   ;2;071;kansanedustaja, professori                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ;1; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;02;05;05;KOK   ;SAML  ;NCP   ;0072;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Juha                                              ;Hakola                                            ;1;043;kansanedustaja, ylikomisario                                                                                                                                                                            ;091;Helsinki                                ;Helsingfors                             ;  ; ;1; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;02;05;05;KOK   ;SAML  ;NCP   ;0073;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Fatbardhe                                         ;Hetemaj                                           ;2;025;kauppatieteiden kandidaatti                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;02;05;05;KOK   ;SAML  ;NCP   ;0074;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Arja                                              ;Karhuvaara                                        ;2;056;kansanedustaja, fysioterapiayrittäjä                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;  ; ;1; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;02;05;05;KOK   ;SAML  ;NCP   ;0075;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Raine                                             ;Luomanen                                          ;1;036;kunniakonsuli, yrittäjä                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;02;05;05;KOK   ;SAML  ;NCP   ;0076;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Hannele                                           ;Luukkainen                                        ;2;061;valtiotieteen lisensiaatti, taloustutkija                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;02;05;05;KOK   ;SAML  ;NCP   ;0077;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Lasse                                             ;Männistö                                          ;1;029;KTM, markkinointi- ja viestintäpäällikkö                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;02;05;05;KOK   ;SAML  ;NCP   ;0078;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jarmo                                             ;Nieminen                                          ;1;051;everstiluutnantti evp, tutkija                                                                                                                                                                          ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;02;05;05;KOK   ;SAML  ;NCP   ;0079;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sakari                                            ;Oka                                               ;1;051;tekniikan tohtori, lehtori                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
