E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0002;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Riku                                              ;Eskelinen                                         ;1;036;ekoenergiavastaava                                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0015;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Terhi                                             ;Peltokorpi                                        ;2;039;kansanedustaja, kätilö (AMK)                                                                                                                                                                            ;091;Helsinki                                ;Helsingfors                             ;FI; ;1;1; ;E-2011    ;0001158;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0016;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jari                                              ;Porttila                                          ;1;055;toimittaja                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0017;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Pekka                                             ;Puska                                             ;1;069;lääkäri, professori                                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0018;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Taru                                              ;Päivike                                           ;2;042;yrittäjä, kauppatieteiden tohtori                                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;SV; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0019;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ville-Veikko                                      ;Rantamaula                                        ;1;034;yksikön johtaja                                                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0020;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Olli                                              ;Rehn                                              ;1;053;Euroopan parlamentin varapuhemies, filosofian tohtori                                                                                                                                                   ;091;Helsinki                                ;Helsingfors                             ;FI;1; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0021;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Juho                                              ;Satti                                             ;1;031;kauppatieteiden ylioppilas, oikeustieteen maisteri                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0022;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Teppo                                             ;Säkkinen                                          ;1;024;Suomen Keskustanuorten puheenjohtaja, yhteiskuntatieteiden ylioppilas                                                                                                                                   ;698;Rovaniemi                               ;Rovaniemi                               ;FI; ; ; ; ;E-2011    ;0000126;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0023;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Markku                                            ;Vuorinen                                          ;1;066;mediapastori                                                                                                                                                                                            ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0002412;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0024;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Riku                                              ;Ahola                                             ;1;034;valtiotieteiden maisteri, toiminnanjohtaja                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000701;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0025;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mirja                                             ;Arajärvi                                          ;2;070;filosofian lisensiaatti, eläkeläinen                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0026;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Paavo                                             ;Arhinmäki                                         ;1;038;kansanedustaja, puolueen puheenjohtaja                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;FI; ;1;1; ;E-2011    ;0017226;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0027;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ilpo                                              ;Haaja                                             ;1;056;pääluottamusmies, levyseppä                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000288;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0028;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mia                                               ;Haglund                                           ;2;029;politices kandidat, kansanedustajan avustaja                                                                                                                                                            ;091;Helsinki                                ;Helsingfors                             ;SV; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0029;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Veronika                                          ;Honkasalo                                         ;2;039;valtiotieteiden tohtori, tutkija                                                                                                                                                                        ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0030;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mikko                                             ;Jokio                                             ;1;039;lähihoitaja, ohjaaja                                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0031;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Otso                                              ;Kantokorpi                                        ;1;058;toimittaja, taidekriitikko                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0032;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mai                                               ;Kivelä                                            ;2;032;Master in Environment and Development, pääsihteeri                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0033;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Dan                                               ;Koivulaakso                                       ;1;034;sopimustoimitsija, avtalsombudsman                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;SV; ; ;1; ;E-2011    ;0001667;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0034;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Vesa                                              ;Korkkula                                          ;1;030;valtiotieteiden maisteri, filosofian- ja elämänkatsomustiedon opettaja                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0035;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sophia                                            ;Leppä                                             ;2;023;painotuotantoassistentti, opiskelija                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0036;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Petra                                             ;Malin                                             ;2;034;valtiotieteiden maisteri, sosiaalityöntekijä                                                                                                                                                            ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0037;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Hanna                                             ;Mithiku                                           ;2;033;teologian kandidaatti, kansainvälisen työn sihteeri                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000515;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0038;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Silvia                                            ;Modig                                             ;2;038;kansanedustaja, riksdagsledamot                                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;FI; ;1;1; ;E-2011    ;0004681;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0039;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Binar                                             ;Mustafa                                           ;1;031;järjestötyöntekijä                                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0040;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sami (Frank)                                      ;Muttilainen                                       ;1;034;nuoriso-ohjaaja, musiikki- ja kulttuurityöntekijä                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0041;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Henrik                                            ;Nyholm                                            ;1;027;ylioppilas, student                                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;SV; ; ; ; ;E-2011    ;0000307;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0042;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Heikki                                            ;Patomäki                                          ;1;052;valtiotieteiden tohtori, professori                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0001311;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0043;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kirsi                                             ;Pihlaja                                           ;2;034;sosionomi, nuorisotyönsuunnittelija                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0001255;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0044;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kai                                               ;Sadinmaa                                          ;1;050;teologian maisteri, pappi                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;05;02;02;VAS   ;VÄNST ;LEFT  ;0045;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anna                                              ;Vuorjoki                                          ;2;038;psykologian maisteri, koulupsykologi                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0000770;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0046;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Juha                                              ;Hakola                                            ;1;047;ylikomisario, viestintäjohtaja                                                                                                                                                                          ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0003892;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0047;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Joel                                              ;Harkimo                                           ;1;025;yrittäjä, opiskelija                                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;SV; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0048;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Fatbardhe                                         ;Hetemaj                                           ;2;029;yksikönvetäjä, kauppatieteiden kandidaatti                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ;1; ;E-2011    ;0004719;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0049;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Arja                                              ;Karhuvaara                                        ;2;060;erikoisfysioterapeutti, yrittäjä                                                                                                                                                                        ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0003957;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0050;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Eija-Riitta                                       ;Korhola                                           ;2;055;filosofian tohtori                                                                                                                                                                                      ;710;Raasepori                               ;Raseborg                                ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0051;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Terhi                                             ;Koulumies                                         ;2;044;valtiotieteiden maisteri                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0052;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Tiina                                             ;Larsson                                           ;2;052;luokanopettaja, toimialajohtaja                                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0053;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Pekka                                             ;Majuri                                            ;1;065;eversti evp                                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0054;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Seija                                             ;Muurinen                                          ;2;061;terveystieteiden tohtori, sairaanhoitaja                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0055;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jarmo                                             ;Nieminen                                          ;1;055;luontokirjailija, everstiluutnantti evp                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0001337;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0056;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Matti                                             ;Parpala                                           ;1;028;toimitusjohtaja, kauppatieteiden kandidaatti                                                                                                                                                            ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0057;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jaana                                             ;Pelkonen                                          ;2;038;kansanedustaja, valtiotieteiden maisteri                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ;1;1; ;E-2011    ;0005897;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0058;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Marjatta                                          ;Rasi                                              ;2;069;suurlähettiläs, oikeustieteen kandidaatti                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0059;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Tapani                                            ;Ruokanen                                          ;1;063;entinen päätoimittaja, teologian maisteri                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0060;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Wille                                             ;Rydman                                            ;1;029;kansainvälisten asioiden sihteeri, valtiotieteiden maisteri                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0004207;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0061;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Laura                                             ;Räty                                              ;2;037;sosiaali- ja terveysministeri, lääketieteen lisensiaatti                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0004839;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0062;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Pertti                                            ;Salolainen                                        ;1;074;kansanedustaja, ministeri                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ;1; ; ;E-2011    ;0006205;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0063;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sari                                              ;Sarkomaa                                          ;2;049;kansanedustaja, terveydenhuollon maisteri                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ;1; ; ;E-2011    ;0007457;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0064;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Daniel                                            ;Sazonov                                           ;1;022;oikeustieteen ja tekniikan ylioppilas                                                                                                                                                                   ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0065;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Nina                                              ;Suomalainen                                       ;2;049;erityisasiantuntija, valtiotieteiden maisteri                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0004338;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0066;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Juhana                                            ;Vartiainen                                        ;1;056;valtiotieteiden tohtori, ylijohtaja                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;4     ;01;03;03;KOK   ;SAML  ;NCP   ;0067;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ben                                               ;Zyskowicz                                         ;1;060;kansanedustaja, oikeustieteen kandidaatti                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ;1; ; ;E-2011    ;0013407;
E   ;01;***;V;****;HEL;HEL;13    ;06;04;04;VIHR  ;GRÖNA ;GREEN ;0068;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Alviina                                           ;Alametsä                                          ;2;022;opiskelija, valtiotieteiden kandidaatti                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;06;04;04;VIHR  ;GRÖNA ;GREEN ;0069;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Outi                                              ;Alanko-Kahiluoto                                  ;2;048;kansanedustaja, filosofian tohtori                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;FI; ;1;1; ;E-2011    ;0005240;
E   ;01;***;V;****;HEL;HEL;13    ;06;04;04;VIHR  ;GRÖNA ;GREEN ;0070;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Pekka                                             ;Haavisto                                          ;1;057;kansanedustaja, ulkoministerin erityisedustaja                                                                                                                                                          ;091;Helsinki                                ;Helsingfors                             ;FI; ;1; ; ;E-2011    ;0007470;
E   ;01;***;V;****;HEL;HEL;13    ;06;04;04;VIHR  ;GRÖNA ;GREEN ;0071;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kaisa                                             ;Hernberg                                          ;2;038;yrittäjä                                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;06;04;04;VIHR  ;GRÖNA ;GREEN ;0072;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mari                                              ;Holopainen                                        ;2;034;yritystutkija, kauppatieteiden maisteri                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;06;04;04;VIHR  ;GRÖNA ;GREEN ;0073;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Katriina (Kati)                                   ;Juva                                              ;2;057;dosentti, erikoislääkäri                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;06;04;04;VIHR  ;GRÖNA ;GREEN ;0074;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Emma                                              ;Kari                                              ;2;031;tietokirjailija, luonnontieteiden kandidaatti                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0002124;
E   ;01;***;V;****;HEL;HEL;13    ;06;04;04;VIHR  ;GRÖNA ;GREEN ;0075;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Otso                                              ;Kivekäs                                           ;1;035;ohjelmistoarkkitehti, filosofian maisteri                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;06;04;04;VIHR  ;GRÖNA ;GREEN ;0076;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kirsikka                                          ;Moring                                            ;2;069;kulttuuritoimittaja                                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;06;04;04;VIHR  ;GRÖNA ;GREEN ;0077;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Maria                                             ;Ohisalo                                           ;2;030;köyhyystutkija, valtiotieteiden maisteri                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
